Emoji,Hex,Category,Subcategory,Name,emoji_polaridade_pysent,emoji_neg_pysent,emoji_neu_pysent,emoji_pos_pysent,emoji_emotion_pysent
ğŸ˜‚,\x{1F602},Smileys & Emotion,face-smiling,face with tears of joy,POS,0.07276108860969543,0.2705918252468109,0.6566471457481384,joy
ğŸ¤£,\x{1F923},Smileys & Emotion,face-smiling,rolling on the floor laughing,POS,0.04974894970655441,0.13118934631347656,0.8190616965293884,others
ğŸ˜­,\x{1F62D},Smileys & Emotion,face-concerned,loudly crying face,NEG,0.9527065753936768,0.025289801880717278,0.022003624588251114,sadness
ğŸ˜˜,\x{1F618},Smileys & Emotion,face-affection,face blowing a kiss,POS,0.046457741409540176,0.3975135087966919,0.5560287833213806,others
ğŸ¥°,\x{1F970},Smileys & Emotion,face-affection,smiling face with hearts,POS,0.0013801520690321922,0.01638610288500786,0.9822337031364441,joy
ğŸ˜,\x{1F60D},Smileys & Emotion,face-affection,smiling face with heart-eyes,POS,0.001305470708757639,0.009315607137978077,0.9893788695335388,others
ğŸ˜Š,\x{1F60A},Smileys & Emotion,face-smiling,smiling face with smiling eyes,POS,0.002700547454878688,0.03828762099146843,0.9590118527412415,joy
ğŸ˜,\x{1F601},Smileys & Emotion,face-smiling,beaming face with smiling eyes,POS,0.011302565224468708,0.1641688048839569,0.8245285749435425,joy
ğŸ¥º,\x{1F97A},Smileys & Emotion,face-concerned,pleading face,NEU,0.28372636437416077,0.5162637233734131,0.20000989735126495,others
ğŸ˜…,\x{1F605},Smileys & Emotion,face-smiling,grinning face with sweat,POS,0.1412745714187622,0.3904793858528137,0.46824607253074646,others
â˜ºï¸,\x{263A FE0F},Smileys & Emotion,face-affection,smiling face,NEU,0.27059224247932434,0.3649570941925049,0.36445069313049316,others
ğŸ™„,\x{1F644},Smileys & Emotion,face-neutral-skeptical,face with rolling eyes,NEG,0.9728474617004395,0.01775127649307251,0.009401164017617702,others
ğŸ˜†,\x{1F606},Smileys & Emotion,face-smiling,grinning squinting face,POS,0.018830783665180206,0.15654000639915466,0.8246291875839233,others
ğŸ¤—,\x{1F917},Smileys & Emotion,face-hand,hugging face,POS,0.06521321088075638,0.41814592480659485,0.5166409015655518,joy
ğŸ˜‰,\x{1F609},Smileys & Emotion,face-smiling,winking face,POS,0.03500501811504364,0.4048738181591034,0.5601211786270142,joy
ğŸ¤”,\x{1F914},Smileys & Emotion,face-hand,thinking face,NEU,0.04760051146149635,0.7701669931411743,0.18223248422145844,others
ğŸ™‚,\x{1F642},Smileys & Emotion,face-smiling,slightly smiling face,POS,0.0021034833043813705,0.01869506575167179,0.9792014360427856,joy
ğŸ˜³,\x{1F633},Smileys & Emotion,face-concerned,flushed face,NEU,0.15679700672626495,0.6111756563186646,0.23202736675739288,others
ğŸ¥³,\x{1F973},Smileys & Emotion,face-hat,partying face,POS,0.020395876839756966,0.2976714074611664,0.6819327473640442,others
ğŸ˜,\x{1F60E},Smileys & Emotion,face-glasses,smiling face with sunglasses,POS,0.001975665334612131,0.021224357187747955,0.9768000245094299,joy
ğŸ˜”,\x{1F614},Smileys & Emotion,face-sleepy,pensive face,NEG,0.8818139433860779,0.0815642774105072,0.03662174940109253,sadness
ğŸ˜‹,\x{1F60B},Smileys & Emotion,face-tongue,face savoring food,POS,0.011687928810715675,0.1777784675359726,0.8105336427688599,joy
ğŸ˜,\x{1F60F},Smileys & Emotion,face-neutral-skeptical,smirking face,POS,0.009044037200510502,0.16332058608531952,0.8276354074478149,joy
ğŸ˜¢,\x{1F622},Smileys & Emotion,face-concerned,crying face,NEG,0.8259022235870361,0.11121079325675964,0.06288700550794601,sadness
ğŸ˜©,\x{1F629},Smileys & Emotion,face-concerned,weary face,NEG,0.9787324070930481,0.012760122306644917,0.008507384918630123,others
ğŸ˜ƒ,\x{1F603},Smileys & Emotion,face-smiling,grinning face with big eyes,POS,0.008402759209275246,0.09715794026851654,0.8944392800331116,others
ğŸ˜¡,\x{1F621},Smileys & Emotion,face-negative,pouting face,NEU,0.22954237461090088,0.5786610245704651,0.19179663062095642,others
ğŸ˜œ,\x{1F61C},Smileys & Emotion,face-tongue,winking face with tongue,NEU,0.07610945403575897,0.5542613863945007,0.3696291446685791,others
ğŸ˜„,\x{1F604},Smileys & Emotion,face-smiling,grinning face with smiling eyes,POS,0.015492639504373074,0.19931261241436005,0.7851947546005249,joy
ğŸ¤¤,\x{1F924},Smileys & Emotion,face-sleepy,drooling face,POS,0.015606511384248734,0.10550979524850845,0.8788836598396301,others
ğŸ¤ª,\x{1F92A},Smileys & Emotion,face-tongue,zany face,NEG,0.9340582489967346,0.04895336925983429,0.01698845624923706,others
ğŸ˜€,\x{1F600},Smileys & Emotion,face-smiling,grinning face,POS,0.03264632448554039,0.1970284879207611,0.7703251242637634,others
ğŸ˜Œ,\x{1F60C},Smileys & Emotion,face-sleepy,relieved face,NEU,0.10446710139513016,0.6100524663925171,0.28548043966293335,joy
ğŸ¤©,\x{1F929},Smileys & Emotion,face-affection,star-struck,POS,0.0015599073376506567,0.006907782517373562,0.9915322661399841,others
ğŸ™ƒ,\x{1F643},Smileys & Emotion,face-smiling,upside-down face,NEG,0.6523871421813965,0.28264930844306946,0.0649634599685669,others
ğŸ˜¬,\x{1F62C},Smileys & Emotion,face-neutral-skeptical,grimacing face,NEG,0.9241973161697388,0.056618548929691315,0.019184213131666183,others
ğŸ˜±,\x{1F631},Smileys & Emotion,face-concerned,face screaming in fear,NEU,0.37276309728622437,0.4482806622982025,0.1789562851190567,sadness
ğŸ˜´,\x{1F634},Smileys & Emotion,face-sleepy,sleeping face,NEU,0.2537900507450104,0.5282313227653503,0.2179785817861557,others
ğŸ¤­,\x{1F92D},Smileys & Emotion,face-hand,face with hand over mouth,NEU,0.04500790685415268,0.6836777329444885,0.2713143825531006,others
ğŸ˜,\x{1F610},Smileys & Emotion,face-neutral-skeptical,neutral face,NEG,0.8305537104606628,0.13425272703170776,0.03519357368350029,others
ğŸ˜’,\x{1F612},Smileys & Emotion,face-neutral-skeptical,unamused face,NEG,0.9903706908226013,0.005056116264313459,0.0045731752179563046,others
ğŸ˜‡,\x{1F607},Smileys & Emotion,face-smiling,smiling face with halo,POS,0.0015758831286802888,0.016767824068665504,0.9816562533378601,joy
ğŸ˜ˆ,\x{1F608},Smileys & Emotion,face-negative,smiling face with horns,POS,0.015409155748784542,0.1106860414147377,0.873904824256897,others
ğŸ¥µ,\x{1F975},Smileys & Emotion,face-unwell,hot face,NEG,0.6301915049552917,0.21869662404060364,0.15111176669597626,others
ğŸ˜,\x{1F61E},Smileys & Emotion,face-concerned,disappointed face,NEG,0.9824526309967041,0.010908755473792553,0.006638591177761555,sadness
ğŸ˜š,\x{1F61A},Smileys & Emotion,face-affection,kissing face with closed eyes,NEU,0.0809703841805458,0.6083029508590698,0.31072676181793213,sadness
â˜¹ï¸,\x{2639 FE0F},Smileys & Emotion,face-concerned,frowning face,NEU,0.27059224247932434,0.3649570941925049,0.36445069313049316,others
ğŸ˜‘,\x{1F611},Smileys & Emotion,face-neutral-skeptical,expressionless face,NEG,0.9523667097091675,0.03772223740816116,0.00991105381399393,others
ğŸ¥´,\x{1F974},Smileys & Emotion,face-unwell,woozy face,NEU,0.18386505544185638,0.6333611607551575,0.18277372419834137,fear
ğŸ¤®,\x{1F92E},Smileys & Emotion,face-unwell,face vomiting,NEG,0.849174976348877,0.10460147261619568,0.046223513782024384,others
ğŸ˜¤,\x{1F624},Smileys & Emotion,face-negative,face with steam from nose,NEU,0.1216624528169632,0.5558847188949585,0.3224527835845947,others
ğŸ¤¢,\x{1F922},Smileys & Emotion,face-unwell,nauseated face,NEG,0.9757980704307556,0.01575544662773609,0.008446583524346352,others
ğŸ˜¥,\x{1F625},Smileys & Emotion,face-concerned,sad but relieved face,NEU,0.18960817158222198,0.42552027106285095,0.38487157225608826,joy
ğŸ˜,\x{1F61D},Smileys & Emotion,face-tongue,squinting face with tongue,NEU,0.06405666470527649,0.6606168746948242,0.2753264904022217,others
ğŸ˜«,\x{1F62B},Smileys & Emotion,face-concerned,tired face,NEG,0.9019745588302612,0.06059893220663071,0.03742650896310806,others
ğŸ˜²,\x{1F632},Smileys & Emotion,face-concerned,astonished face,NEU,0.29789453744888306,0.5869634747505188,0.11514193564653397,others
ğŸ¤¯,\x{1F92F},Smileys & Emotion,face-unwell,exploding head,NEG,0.44403019547462463,0.3051997125148773,0.25077012181282043,others
ğŸ¤¬,\x{1F92C},Smileys & Emotion,face-negative,face with symbols on mouth,NEU,0.06442495435476303,0.6728747487068176,0.26270028948783875,others
ğŸ˜•,\x{1F615},Smileys & Emotion,face-concerned,confused face,NEG,0.97676020860672,0.014940882101655006,0.008298894390463829,others
ğŸ¤¨,\x{1F928},Smileys & Emotion,face-neutral-skeptical,face with raised eyebrow,NEU,0.08337926119565964,0.6325237154960632,0.28409701585769653,others
ğŸ˜“,\x{1F613},Smileys & Emotion,face-concerned,downcast face with sweat,NEG,0.9548587799072266,0.03120400756597519,0.013937177136540413,others
ğŸ˜Ÿ,\x{1F61F},Smileys & Emotion,face-concerned,worried face,NEG,0.6446038484573364,0.24009430408477783,0.11530187726020813,fear
ğŸ˜£,\x{1F623},Smileys & Emotion,face-concerned,persevering face,NEG,0.6863272190093994,0.24333752691745758,0.07033523172140121,others
ğŸ§,\x{1F9D0},Smileys & Emotion,face-glasses,face with monocle,NEU,0.056692808866500854,0.6680524945259094,0.2752547562122345,others
ğŸ˜ ,\x{1F620},Smileys & Emotion,face-negative,angry face,NEG,0.8922631740570068,0.07598121464252472,0.03175561875104904,anger
ğŸ¤ ,\x{1F920},Smileys & Emotion,face-hat,cowboy hat face,NEU,0.06798554211854935,0.6879949569702148,0.24401956796646118,others
ğŸ˜›,\x{1F61B},Smileys & Emotion,face-tongue,face with tongue,NEU,0.07773227244615555,0.6314754486083984,0.2907922565937042,others
ğŸ¤«,\x{1F92B},Smileys & Emotion,face-hand,shushing face,NEU,0.4094274342060089,0.46247121691703796,0.12810130417346954,others
ğŸ˜·,\x{1F637},Smileys & Emotion,face-unwell,face with medical mask,NEU,0.059163715690374374,0.7188021540641785,0.22203417122364044,others
ğŸ¤“,\x{1F913},Smileys & Emotion,face-glasses,nerd face,NEU,0.05977160111069679,0.5945559144020081,0.34567248821258545,others
ğŸ¥¶,\x{1F976},Smileys & Emotion,face-unwell,cold face,NEU,0.3478035032749176,0.4589645564556122,0.1932319551706314,others
ğŸ˜¶,\x{1F636},Smileys & Emotion,face-neutral-skeptical,face without mouth,NEU,0.4186393916606903,0.4795692563056946,0.1017913743853569,others
ğŸ˜–,\x{1F616},Smileys & Emotion,face-concerned,confounded face,NEU,0.30241599678993225,0.5440253615379333,0.15355871617794037,others
ğŸ˜™,\x{1F619},Smileys & Emotion,face-affection,kissing face with smiling eyes,POS,0.022825069725513458,0.3056216835975647,0.6715532541275024,joy
ğŸ¤‘,\x{1F911},Smileys & Emotion,face-tongue,money-mouth face,NEU,0.030715903267264366,0.8286432027816772,0.14064094424247742,disgust
ğŸ˜—,\x{1F617},Smileys & Emotion,face-affection,kissing face,NEU,0.07861970365047455,0.5448000431060791,0.37658026814460754,others
ğŸ˜®,\x{1F62E},Smileys & Emotion,face-concerned,face with open mouth,NEU,0.3336506485939026,0.5141149163246155,0.15223444998264313,others
ğŸ™,\x{1F641},Smileys & Emotion,face-concerned,slightly frowning face,NEG,0.8825855255126953,0.08886753022670746,0.028547009453177452,sadness
ğŸ˜ª,\x{1F62A},Smileys & Emotion,face-sleepy,sleepy face,NEG,0.9742199778556824,0.014929051510989666,0.010850939899682999,others
ğŸ˜°,\x{1F630},Smileys & Emotion,face-concerned,anxious face with sweat,NEU,0.32015708088874817,0.4037574231624603,0.2760854661464691,fear
ğŸ˜µ,\x{1F635},Smileys & Emotion,face-unwell,knocked-out face,NEG,0.7752339243888855,0.17889510095119476,0.04587097465991974,others
ğŸ¤§,\x{1F927},Smileys & Emotion,face-unwell,sneezing face,NEG,0.5670530796051025,0.29363563656806946,0.139311283826828,others
ğŸ˜¯,\x{1F62F},Smileys & Emotion,face-concerned,hushed face,NEU,0.081308513879776,0.5862508416175842,0.332440584897995,others
ğŸ¤,\x{1F910},Smileys & Emotion,face-neutral-skeptical,zipper-mouth face,NEG,0.5292823910713196,0.3672381043434143,0.1034795418381691,others
ğŸ˜¨,\x{1F628},Smileys & Emotion,face-concerned,fearful face,NEG,0.6995980143547058,0.24086692929267883,0.059535082429647446,fear
ğŸ¤•,\x{1F915},Smileys & Emotion,face-unwell,face with head-bandage,NEU,0.3658292591571808,0.536379873752594,0.09779094159603119,others
ğŸ‘¿,\x{1F47F},Smileys & Emotion,face-negative,angry face with horns,NEG,0.8447262644767761,0.12088692933320999,0.034386854618787766,others
ğŸ˜§,\x{1F627},Smileys & Emotion,face-concerned,anguished face,NEG,0.9674239754676819,0.020420635119080544,0.012155316770076752,others
ğŸ˜¦,\x{1F626},Smileys & Emotion,face-concerned,frowning face with open mouth,NEU,0.34792670607566833,0.5243496298789978,0.12772363424301147,sadness
ğŸ¤’,\x{1F912},Smileys & Emotion,face-unwell,face with thermometer,NEU,0.0804687961935997,0.7648906707763672,0.15464052557945251,others
ğŸ¤¥,\x{1F925},Smileys & Emotion,face-neutral-skeptical,lying face,NEG,0.9512420296669006,0.03397831320762634,0.014779634773731232,disgust
